participant,vis,rdirection,sign,visandsign,rbase,approach,jnd
hrp9vbr9,parallelCoordinates,positive,1,parallelCoordinatespositive,0.6,above,0.273333333
hrp9vbr9,parallelCoordinates,positive,1,parallelCoordinatespositive,0.6,below,0.471666667
hrp9vbr9,parallelCoordinates,positive,1,parallelCoordinatespositive,0.3,below,0.284166667
hrp9vbr9,parallelCoordinates,positive,1,parallelCoordinatespositive,0.3,above,0.483333333
hs1u042j,line,positive,1,linepositive,0.8,below,0.265
hs1u042j,line,positive,1,linepositive,0.5,below,0.35
hs1u042j,line,positive,1,linepositive,0.5,above,0.213333333
hs1u042j,line,positive,1,linepositive,0.8,above,0.066666667
hscd70ru,line,negative,-1,linenegative,0.7,above,0.2925
hscd70ru,line,negative,-1,linenegative,0.4,below,0.51
hscd70ru,line,negative,-1,linenegative,0.4,above,0.088333333
hscd70ru,line,negative,-1,linenegative,0.7,below,0.436666667
hsb8f1gg,scatterplot,negative,-1,scatterplotnegative,0.7,below,0.051666667
hsb8f1gg,scatterplot,negative,-1,scatterplotnegative,0.5,above,0.081666667
hsb8f1gg,scatterplot,negative,-1,scatterplotnegative,0.7,above,0.065
hsb8f1gg,scatterplot,negative,-1,scatterplotnegative,0.5,below,0.04
hs2i5cwl,line,positive,1,linepositive,0.6,below,0.36
hs2i5cwl,line,positive,1,linepositive,0.6,above,0.155
hs2i5cwl,line,positive,1,linepositive,0.3,above,0.298333333
hs2i5cwl,line,positive,1,linepositive,0.3,below,0.338333333
hs5f855t,stackedbar,negative,-1,stackedbarnegative,0.6,below,0.05125
hs5f855t,stackedbar,negative,-1,stackedbarnegative,0.3,above,0.16
hs5f855t,stackedbar,negative,-1,stackedbarnegative,0.3,below,0.173333333
hs5f855t,stackedbar,negative,-1,stackedbarnegative,0.6,above,0.12
hs6gomxk,stackedbar,negative,-1,stackedbarnegative,0.8,above,0.185
hs6gomxk,stackedbar,negative,-1,stackedbarnegative,0.5,below,0.323333333
hs6gomxk,stackedbar,negative,-1,stackedbarnegative,0.5,above,0.206666667
hs6gomxk,stackedbar,negative,-1,stackedbarnegative,0.8,below,0.485
hs6gw70w,stackedbar,negative,-1,stackedbarnegative,0.5,above,0.086666667
hs6gw70w,stackedbar,negative,-1,stackedbarnegative,0.8,below,0.053333333
hs6gw70w,stackedbar,negative,-1,stackedbarnegative,0.5,below,0.12
hs6gw70w,stackedbar,negative,-1,stackedbarnegative,0.8,above,0.03625
hs6gojeg,stackedbar,negative,-1,stackedbarnegative,0.8,below,0.05
hs6gojeg,stackedbar,negative,-1,stackedbarnegative,0.5,above,0.158333333
hs6gojeg,stackedbar,negative,-1,stackedbarnegative,0.8,above,0.023333333
hs6gojeg,stackedbar,negative,-1,stackedbarnegative,0.5,below,0.121666667
hrjrhwvx,scatterplot,negative,-1,scatterplotnegative,0.3,above,0.068333333
hrjrhwvx,scatterplot,negative,-1,scatterplotnegative,0.6,below,0.047083333
hrjrhwvx,scatterplot,negative,-1,scatterplotnegative,0.6,above,0.05125
hrjrhwvx,scatterplot,negative,-1,scatterplotnegative,0.3,below,0.292083333
hsj6csop,stackedarea,positive,1,stackedareapositive,0.6,above,0.377916667
hsj6csop,stackedarea,positive,1,stackedareapositive,0.3,above,0.518333333
hsj6csop,stackedarea,positive,1,stackedareapositive,0.6,below,0.201666667
hsj6csop,stackedarea,positive,1,stackedareapositive,0.3,below,0.313333333
hscf9yyz,line,negative,-1,linenegative,0.8,below,0.496666667
hscf9yyz,line,negative,-1,linenegative,0.5,above,0.401666667
hscf9yyz,line,negative,-1,linenegative,0.8,above,0.177916667
hscf9yyz,line,negative,-1,linenegative,0.5,below,0.41
hsb4w7dw,scatterplot,positive,1,scatterplotpositive,0.7,above,0.045
hsb4w7dw,scatterplot,positive,1,scatterplotpositive,0.5,above,0.055
hsb4w7dw,scatterplot,positive,1,scatterplotpositive,0.5,below,0.183333333
hsb4w7dw,scatterplot,positive,1,scatterplotpositive,0.7,below,0.05
hscfajnp,line,negative,-1,linenegative,0.8,below,0.478333333
hscfajnp,line,negative,-1,linenegative,0.5,above,0.251666667
hscfajnp,line,negative,-1,linenegative,0.8,above,0.181666667
hscfajnp,line,negative,-1,linenegative,0.5,below,0.201666667
hrqiox83,parallelCoordinates,negative,-1,parallelCoordinatesnegative,0.5,above,0.061666667
hrqiox83,parallelCoordinates,negative,-1,parallelCoordinatesnegative,0.8,below,0.138333333
hrqiox83,parallelCoordinates,negative,-1,parallelCoordinatesnegative,0.5,below,0.291666667
hrqiox83,parallelCoordinates,negative,-1,parallelCoordinatesnegative,0.8,above,0.115
hrs1cadb,parallelCoordinates,positive,1,parallelCoordinatespositive,0.4,above,0.256666667
hrs1cadb,parallelCoordinates,positive,1,parallelCoordinatespositive,0.7,above,0.136666667
hrs1cadb,parallelCoordinates,positive,1,parallelCoordinatespositive,0.4,below,0.173333333
hrs1cadb,parallelCoordinates,positive,1,parallelCoordinatespositive,0.7,below,0.321666667
hs2mn2gj,line,positive,1,linepositive,0.6,above,0.335
hs2mn2gj,line,positive,1,linepositive,0.3,below,0.383333333
hs2mn2gj,line,positive,1,linepositive,0.3,above,0.446666667
hs2mn2gj,line,positive,1,linepositive,0.6,below,0.205
hsi6jxm7,stackedline,positive,1,stackedlinepositive,0.7,above,0.282916667
hsi6jxm7,stackedline,positive,1,stackedlinepositive,0.7,below,0.406666667
hsi6jxm7,stackedline,positive,1,stackedlinepositive,0.4,below,0.438333333
hsi6jxm7,stackedline,positive,1,stackedlinepositive,0.4,above,0.525
hsknw805,donut,negative,-1,donutnegative,0.6,below,0.191666667
hsknw805,donut,negative,-1,donutnegative,0.6,above,0.246666667
hsknw805,donut,negative,-1,donutnegative,0.3,below,0.311666667
hsknw805,donut,negative,-1,donutnegative,0.3,above,0.148333333
hsktvq1v,donut,negative,-1,donutnegative,0.5,above,0.085
hsktvq1v,donut,negative,-1,donutnegative,0.8,above,0.031666667
hsktvq1v,donut,negative,-1,donutnegative,0.8,below,0.043333333
hsktvq1v,donut,negative,-1,donutnegative,0.5,below,0.085
hrjqd2iw,scatterplot,negative,-1,scatterplotnegative,0.6,below,0.040416667
hrjqd2iw,scatterplot,negative,-1,scatterplotnegative,0.6,above,0.096666667
hrjqd2iw,scatterplot,negative,-1,scatterplotnegative,0.3,below,0.231666667
hrjqd2iw,scatterplot,negative,-1,scatterplotnegative,0.3,above,0.095
hrjhyvas,scatterplot,negative,-1,scatterplotnegative,0.4,above,0.121666667
hrjhyvas,scatterplot,negative,-1,scatterplotnegative,0.8,below,0.081666667
hrjhyvas,scatterplot,negative,-1,scatterplotnegative,0.8,above,0.05125
hrjhyvas,scatterplot,negative,-1,scatterplotnegative,0.4,below,0.175
hs6gy5qt,stackedbar,negative,-1,stackedbarnegative,0.5,below,0.085
hs6gy5qt,stackedbar,negative,-1,stackedbarnegative,0.5,above,0.101666667
hs6gy5qt,stackedbar,negative,-1,stackedbarnegative,0.8,below,0.05
hs6gy5qt,stackedbar,negative,-1,stackedbarnegative,0.8,above,0.0475
