id1,vs1,0.1,id3,vs3,0.3,id5,vs5,0.5,id7,vs7,0.7,id9,vs9,0.9,overallid,visoverall,overall
3,pcp-negative,0.14491202,3,pcp-negative,0.11609026,2,scatterplot-positive,0.0870492,1,scatterplot-negative,0.05077575,1,scatterplot-negative,0.00636965,2,scatterplot-positive,
2,scatterplot-positive,0.15657544,2,scatterplot-positive,0.12181232,3,pcp-negative,0.0872685,2,scatterplot-positive,0.05228608,2,scatterplot-positive,0.01752296,3,pcp-negative,
1,scatterplot-negative,0.18399405,1,scatterplot-negative,0.13958795,1,scatterplot-negative,0.09518185,3,pcp-negative,0.05844674,3,pcp-negative,0.02962498,1,scatterplot-negative,
6,stackedbar-negative,0.20206008,6,stackedbar-negative,0.16353584,6,stackedbar-negative,0.1250116,6,stackedbar-negative,0.08648736,12,ordered line-positive,0.0409748,6,stackedbar-negative,
12,ordered line-positive,0.2323932,12,ordered line-positive,0.1845386,12,ordered line-positive,0.136684,12,ordered line-positive,0.0888294,5,donut-negative,0.04671744,12,ordered line-positive,
5,donut-negative,0.23264896,5,donut-negative,0.18616608,5,donut-negative,0.1396832,5,donut-negative,0.09320032,11,ordered line-negative,0.04708321,5,donut-negative,
7,stackedarea-negative,0.2480831,7,stackedarea-negative,0.2044633,7,stackedarea-negative,0.1608435,11,ordered line-negative,0.10812043,6,stackedbar-negative,0.04796312,7,stackedarea-negative,
11,ordered line-negative,0.29123209,11,ordered line-negative,0.23019487,11,ordered line-negative,0.16915765,7,stackedarea-negative,0.1172237,8,stackedline-negative,0.06580255,11,ordered line-negative,
8,stackedline-negative,0.32263735,8,stackedline-negative,0.25842865,8,stackedline-negative,0.19421995,8,stackedline-negative,0.13001125,7,stackedarea-negative,0.0736039,8,stackedline-negative,
4,pcp-positive,0.34146025,4,pcp-positive,0.28824495,4,pcp-positive,0.23502965,4,pcp-positive,0.18181435,9,radar-positive,0.12249964,4,pcp-positive,
9,radar-positive,0.40696396,9,radar-positive,0.33584788,9,radar-positive,0.2647318,9,radar-positive,0.19361572,4,pcp-positive,0.12859905,9,radar-positive,
10,line-positive,0.42680257,10,line-positive,0.36225171,10,line-positive,0.29770085,10,line-positive,0.23314999,10,line-positive,0.16859913,10,line-positive,
